상품 ID,카테고리,브랜드,상품명,현재 모델명,현재 이미지,보완 항목
chungho-newhero,공기청정기,청호나이스,뉴히어로 공기청정기,옵션 상담,미등록,정확한 모델명 필요 · 실제 제품 이미지 필요
hyundai-air-blade,공기청정기,현대큐밍,더케어 블레이드 공기청정기,옵션 상담,미등록,정확한 모델명 필요 · 실제 제품 이미지 필요
coway-icon-bidet,비데,코웨이,아이콘 비데,옵션 상담,미등록,정확한 모델명 필요 · 실제 제품 이미지 필요
sk-full-stainless-bidet,비데,SK매직,풀스텐 살균 비데,옵션 상담,미등록,정확한 모델명 필요 · 실제 제품 이미지 필요
sk-bubble-bidet,비데,SK매직,올클린 버블 살균 비데,옵션 상담,미등록,정확한 모델명 필요 · 실제 제품 이미지 필요
cuckoo-triplecare-bidet,비데,쿠쿠,인스퓨어 트리플케어 비데,옵션 상담,미등록,정확한 모델명 필요 · 실제 제품 이미지 필요
hyundai-smart-bidet,비데,현대큐밍,더클린 스마트 비데,옵션 상담,미등록,정확한 모델명 필요 · 실제 제품 이미지 필요
chungho-bidet,비데,청호나이스,살균 비데,옵션 상담,미등록,정확한 모델명 필요 · 실제 제품 이미지 필요
ruhens-smart-bidet,비데,루헨스,스마트 케어 비데,옵션 상담,미등록,정확한 모델명 필요 · 실제 제품 이미지 필요
bodyfriend-phantom-rovo,안마의자,바디프랜드,팬텀 로보 안마의자,옵션 상담,미등록,정확한 모델명 필요 · 실제 제품 이미지 필요
ceragem-master-v7,안마의자,세라젬,마스터 V7 척추 의료가전,옵션 상담,미등록,정확한 모델명 필요 · 실제 제품 이미지 필요
cozyma-newera,안마의자,코지마,뉴에라 안마의자,옵션 상담,미등록,정확한 모델명 필요 · 실제 제품 이미지 필요
cuckoo-restino,안마의자,쿠쿠,레스티노 안마의자,옵션 상담,미등록,정확한 모델명 필요 · 실제 제품 이미지 필요
lg-washtower,세탁·건조,LG전자,트롬 오브제컬렉션 워시타워,옵션 상담,https://www.lge.co.kr/kr/images/wash-tower/md09942862/gallery/large-interior01.jpg,정확한 모델명 필요
lg-tromm-dryer,세탁·건조,LG전자,트롬 오브제컬렉션 건조기,옵션 상담,미등록,정확한 모델명 필요 · 실제 제품 이미지 필요
lg-styler,세탁·건조,LG전자,스타일러 오브제컬렉션,옵션 상담,https://www.lge.co.kr/kr/images/lg-styler/md10754834/md10754834-280x280.jpg,정확한 모델명 필요
samsung-ai-combo,세탁·건조,삼성전자,비스포크 AI 콤보 세탁건조기,옵션 상담,미등록,정확한 모델명 필요 · 실제 제품 이미지 필요
samsung-airdresser,세탁·건조,삼성전자,비스포크 에어드레서,옵션 상담,미등록,정확한 모델명 필요 · 실제 제품 이미지 필요
lg-dishwasher,주방가전,LG전자,디오스 오브제컬렉션 식기세척기,옵션 상담,미등록,정확한 모델명 필요 · 실제 제품 이미지 필요
sk-dishwasher,주방가전,SK매직,트리플케어 식기세척기,옵션 상담,미등록,정확한 모델명 필요 · 실제 제품 이미지 필요
lg-induction,주방가전,LG전자,디오스 오브제컬렉션 인덕션,옵션 상담,미등록,정확한 모델명 필요 · 실제 제품 이미지 필요
samsung-dishwasher,주방가전,삼성전자,비스포크 식기세척기,옵션 상담,미등록,정확한 모델명 필요 · 실제 제품 이미지 필요
cuckoo-pet-dryroom,생활가전,쿠쿠,넬로 펫 에어샤워 앤 드라이룸,옵션 상담,미등록,정확한 모델명 필요 · 실제 제품 이미지 필요
